,acc_p,gyr_p
0,0.004780487999100209,0.0012702918210489983
1,-0.00022907624563368962,-7.586292656932525e-05
2,7.532259351977991e-05,-2.9883990169116497e-05
3,-3.3510891811637175e-06,-2.969582205293454e-05
4,0.00479996721205857,0.0007651113978938789
5,-0.00018532043529229458,-3.257446806323723e-06
6,-0.0001112637450109006,-0.0001893121229938013
7,8.907302441987219e-05,-0.0002152330308543797
8,0.004816206043021044,0.0012726633265466238
9,10.792349397590442,385.69522088353415
10,-21.240903614457807,-128.89829317269076
11,111.65379518072291,66.62570281124498
