,acc_p,gyr_p
0,0.004771671528687099,0.0012173690699974029
1,-8.142030691315889e-06,-1.3819125489226098e-05
2,-7.65514066452176e-06,-2.02969089886653e-06
3,-2.433921022625393e-05,-7.491142428190372e-05
4,0.004781078707372427,0.0012185447582594832
5,4.092839033987732e-05,-2.137512704490375e-06
6,2.919781630064209e-05,-1.416514257984727e-05
7,-1.92111632849596e-05,-4.237557465480634e-06
8,0.004764479797631132,0.0012194819081533775
9,7.224578313253005,-23.228634538152612
10,-2.8463855421687185,-1.606867469879518
11,40.218493975903584,2.11140562248996
