t,B_Gx,B_Gy,B_Gz,B_Ax,B_Ay,B_Az
0.0,-2344.0,-16875.0,-688.0,15.0,61.0,2151.0
0.000600265284460406,-3798.0,-13433.0,-1816.0,1.0,54.0,2138.0
0.001200530568920812,-1920.0,-16938.0,-1709.0,16.0,66.0,2148.0
0.001800795853381218,-3772.0,-18984.0,-2054.0,25.0,67.0,2135.0
0.002401061137841624,-3608.0,-14670.0,-670.0,15.0,76.0,2136.0
0.0030013264223020296,-1978.0,-15174.0,310.0,27.0,57.0,2143.0
0.003601591706762436,-2291.0,-14397.0,-742.0,18.0,58.0,2149.0
0.004201856991222842,-4016.0,-12179.0,-3479.0,9.0,64.0,2146.0
0.004802122275683248,-2948.0,-13244.0,-1272.0,25.0,73.0,2152.0
0.0054023875601436535,-3807.0,-12955.0,-916.0,18.0,68.0,2154.0
0.006002652844604059,-2867.0,-10849.0,-1107.0,12.0,71.0,2144.0
0.006602918129064466,-576.0,-2562.0,2732.0,17.0,65.0,2140.0
0.007203183413524872,-36.0,2938.0,2091.0,20.0,62.0,2147.0
0.007803448697985277,622.0,-45.0,865.0,20.0,61.0,2151.0
0.008403713982445684,1462.0,344.0,-176.0,29.0,75.0,2146.0
0.00900397926690609,-860.0,-1058.0,84.0,19.0,68.0,2150.0
0.009604244551366495,837.0,614.0,332.0,8.0,81.0,2145.0
0.010204509835826901,-143.0,-151.0,251.0,8.0,75.0,2152.0
0.010804775120287307,657.0,35.0,581.0,17.0,71.0,2159.0
0.011405040404747713,148.0,-550.0,-573.0,27.0,64.0,2157.0
0.012005305689208118,35.0,247.0,-299.0,20.0,79.0,2148.0
0.012605570973668526,1140.0,-602.0,571.0,22.0,66.0,2145.0
0.013205836258128932,-486.0,503.0,812.0,26.0,79.0,2136.0
0.013806101542589337,675.0,-622.0,-104.0,30.0,62.0,2142.0
0.014406366827049743,960.0,515.0,-427.0,13.0,70.0,2150.0
0.015006632111510149,-655.0,-710.0,295.0,11.0,66.0,2147.0
0.015606897395970555,800.0,135.0,369.0,11.0,62.0,2151.0
0.016207162680430962,-162.0,-379.0,661.0,13.0,71.0,2151.0
0.016807427964891368,746.0,364.0,-195.0,15.0,69.0,2150.0
0.017407693249351774,387.0,-492.0,-780.0,6.0,63.0,2140.0
0.01800795853381218,47.0,415.0,-690.0,16.0,75.0,2145.0
0.018608223818272585,950.0,-573.0,580.0,11.0,62.0,2140.0
0.01920848910273299,184.0,559.0,804.0,12.0,65.0,2148.0
0.019808754387193397,508.0,-435.0,314.0,7.0,69.0,2152.0
0.020409019671653802,-397.0,148.0,-958.0,3.0,72.0,2140.0
0.021009284956114208,932.0,-99.0,-439.0,17.0,74.0,2140.0
0.021609550240574614,331.0,360.0,677.0,15.0,66.0,2139.0
0.02220981552503502,34.0,-317.0,1075.0,15.0,73.0,2144.0
0.022810080809495425,1126.0,569.0,451.0,5.0,65.0,2139.0
